OPR_DT,OPR_HR,OPR_INTERVAL,INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,TRADING_HUB,RENEWABLE_TYPE,LABEL,XML_DATA_ITEM,MARKET_RUN_ID_POS,RENEW_POS,MW,MARKET_RUN_ID,GROUP
2026-04-06,1,0,2026-04-06T07:00:00-00:00,2026-04-06T08:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2026-04-06,2,0,2026-04-06T08:00:00-00:00,2026-04-06T09:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2026-04-06,3,0,2026-04-06T09:00:00-00:00,2026-04-06T10:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2026-04-06,4,0,2026-04-06T10:00:00-00:00,2026-04-06T11:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2026-04-06,5,0,2026-04-06T11:00:00-00:00,2026-04-06T12:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2026-04-06,6,0,2026-04-06T12:00:00-00:00,2026-04-06T13:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,0,DAM,1
2026-04-06,7,0,2026-04-06T13:00:00-00:00,2026-04-06T14:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,12.15,DAM,1
2026-04-06,8,0,2026-04-06T14:00:00-00:00,2026-04-06T15:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,686.59,DAM,1
2026-04-06,9,0,2026-04-06T15:00:00-00:00,2026-04-06T16:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,1945.17,DAM,1
2026-04-06,10,0,2026-04-06T16:00:00-00:00,2026-04-06T17:00:00-00:00,NP15,Solar,Renewable Forecast Day Ahead,RENEW_FCST_DA_MW,1,2,2433.46,DAM,1
